id,name,quantity,price,price_normalized,igd_type,brand,picture
195,불닭볶음면 120g,1,1600,1,개,삼양,carrot.png
196,가쓰오 우동컵,1,2900,1,개,CJ,carrot.png
197,왕갈비통닭볶음면,1,1500,1,개,삼양,carrot.png
198,까르보불닭떡볶이,1,3000,1,개,삼양,carrot.png
199,오뚜기 3분 미트볼 150g,1,990,1,봉,오뚜기,carrot.png
200,또띠아,225,3000,1,g,이마트,carrot.png
201,목살,400,11000,1,g,이마트,carrot.png
202,팔도비빔면 컵,1,1050,1,개,팔도,carrot.png
203,오뎅 한그릇,1,2500,1,개,삼호,carrot.png
204,너구리,1,1500,1,개,농심,carrot.png
205,통단팥호빵,4,4200,1,개,삼립,carrot.png
206,고추잡채,1,3500,1,개,GS25,carrot.png
207,신라면 큰사발,1,1400,1,개,농심,carrot.png
208,햄스빌 베이컨 70g,1,2550,1,개,CJ,carrot.png
209,오뚜기 콕콕콕 스파게티 120g,1,1000,1,개,오뚜기,carrot.png
210,자연산 골뱅이 140g,1,4000,1,캔,유동,carrot.png
211,대개딱지장,1,3500,1,개,GS25,carrot.png
212,닭날개(아래),500,6500,1,g,이마트,carrot.png
213,전분(녹말가루),350,2800,1,g,이마트,carrot.png
214,파스타면,400,1280,1,g,이마트,carrot.png
215,아보카도,2,4000,1,개,이마트,carrot.png
216,방울토마토,600,4500,1,g,이마트,carrot.png
217,순두부,350,1800,1,g,이마트,carrot.png
218,삼각김밥,1,1200,1,개,편의점,carrot.png
219,종가집 볶음김치 80g,1,1300,1,개,종가집,carrot.png
220,미니 맛단무지,1,500,1,개,세븐일레븐,carrot.png
221,오모리 김치찌개라면,1,1500,1,개,GS25,carrot.png
222,콩이가득두부 300g,1,1300,1,모,종가집,carrot.png
223,직화구이꼬치파스팸 80g,1,2000,1,개,CJ,carrot.png
224,짜왕 가바컵밥,1,3000,1,개,오테이스트,carrot.png
225,아이스 군고구마,1,1500,1,개,GS25,carrot.png
226,단팥빵 ,1,1000,1,개,삼립,carrot.png
227,투게더 오리지널 바닐라,1,3500,1,개,빙그레,carrot.png
228,덴마크 드링킹 요구르트 플레인 310ml,1,1800,1,개,덴마크우유,carrot.png
229,얼음컵,1,500,1,개,편의점,carrot.png
230,미닛메이드 오렌지 350ml,1,1950,1,개,코카콜라,carrot.png
231,죠리퐁,1,1500,1,개,크라운,carrot.png
232,맥심 모카골드커피믹스,1,100,1,개,맥심,carrot.png
233,크랜베리 340ml,1,2000,1,개,오션스프레이 ,carrot.png
234,스파클링 복숭아 355ml,1,1200,1,개,트로피카나,carrot.png
235,레모나산,10,2800,1,포,경남,carrot.png
236,예감(오리지널),1,1200,1,개,오리온,carrot.png
237,뭉개뭉계란,1,2600,1,개,GS25,carrot.png
238,불막창,1,7900,1,개,GS25,carrot.png
239,컵누들 베트남쌀국수,1,1300,1,개,오뚜기,carrot.png
240,자이언트 떡볶이,1,2200,1,개,CU,carrot.png
241,오! 감자,1,1500,1,개,오리온,carrot.png
242,짜파게티,1,1150,1,개,농심,carrot.png
243,자이언트 피자,1,2400,1,개,CU,carrot.png
244,훈제 닭다리,1,3500,1,개,한양,carrot.png
245,팔도만능비빔장,1,500,1,개,팔도,carrot.png
246,바삭매콤치킨,1,1900,1,개,CU,carrot.png
247,파스타 테이블 투움바 파스타,1,1600,1,개,삼양,carrot.png
248,병아리콩,500,3000,1,g,이마트,carrot.png
249,카레가루,100,2500,1,g,이마트,carrot.png
250,부채살(스테이크용),300,9000,1,g,이마트,carrot.png
251,통삼겹살,500,10000,1,g,이마트,carrot.png
252,소시지,500,3000,1,g,이마트,carrot.png
253,양배추,1,2500,1,개,이마트,carrot.png
254,감자,1,700,1,개,이마트,carrot.png
255,소 목심,500,10500,1,g,이마트,carrot.png
256,소 등심,300,40000,1,g,이마트,carrot.png
257,아스파라거스,6,5280,1,개,이마트,carrot.png
258,백종원,0,100,0,10,"",carrot.png
259,배추,0,1000,0,1,"",carrot.png
